Transect_ID,Burn_Season,Fecundity,Inflorescence_Number,Canopy_Cover,Basal_Area
June_1,Early wet,1,1,Partial,5.65486677646163
June_1,Early wet,0,0,Partial,1.34303085940964
June_1,Early wet,0,0,Partial,0.219911485751285
June_1,Early wet,1,2,Partial,0.604756585816035
June_1,Early wet,1,4,Partial,3.32223423117121
June_1,Early wet,1,2,Partial,1.26449104306989
June_1,Early wet,1,5,Partial,8.27024266057513
June_1,Early wet,1,3,Partial,1.27234502470387
June_1,Early wet,1,3,Partial,5.89048622548086
June_1,Early wet,1,3,Partial,20.4203522483337
June_1,Early wet,1,4,Partial,12.4956847796534
June_1,Early wet,0,0,Partial,1.09955742875643
June_1,Early wet,1,1,Partial,1.88495559215388
June_1,Early wet,1,2,Partial,2.26980069221863
June_1,Early wet,1,5,Partial,1.41371669411541
June_1,Early wet,0,0,Partial,0.471238898038469
June_1,Early wet,0,0,Partial,0.15707963267949
June_1,Early wet,1,2,Partial,15.5508836352695
June_1,Early wet,1,5,Partial,32.5233379462883
June_1,Early wet,1,3,Partial,63.9078485556504
June_1,Early wet,1,12,Partial,34.1334041812531
June_1,Early wet,0,0,Partial,0.376991118430775
June_1,Early wet,1,5,Partial,19.9334053870272
June_1,Early wet,1,5,Partial,42.8827397215007
June_1,Early wet,1,14,Partial,98.9601685880785
June_1,Early wet,1,14,Partial,449.561908728699
June_1,Early wet,1,20,Partial,26.7349534820491
June_1,Early wet,1,13,Partial,31.9657052502761
June_1,Early wet,1,82,Partial,205.837150663203
June_1,Early wet,0,0,Partial,139.109722700956
June_1,Early wet,1,42,Partial,253.212367879337
June_2,Early wet,1,9,Partial,10.1787601976309
June_2,Early wet,1,2,Partial,0.714712328691678
June_2,Early wet,1,2,Partial,0.424115008234622
June_2,Early wet,1,8,Partial,19.9805292768311
June_2,Early wet,1,2,Partial,33.4579617607313
June_2,Early wet,1,11,Partial,167.94954326091
June_2,Early wet,0,0,Partial,12.5349546878233
June_2,Early wet,0,0,Partial,58.4493313200381
June_2,Early wet,1,2,Partial,48.7339560388117
June_2,Early wet,1,2,Partial,10.7128309487412
June_2,Early wet,0,0,Partial,9.33838416279566
June_2,Early wet,0,0,Partial,7.85398163397448
June_2,Early wet,0,0,Partial,3.47145988221672
June_2,Early wet,1,4,Partial,23.4755511039497
June_2,Early wet,0,0,Partial,0.251327412287183
June_2,Early wet,1,3,Partial,1.26449104306989
June_2,Early wet,1,1,Partial,0.989601685880785
June_2,Early wet,1,1,Partial,14.7340695453361
June_2,Early wet,1,2,Partial,71.9110558406704
June_2,Early wet,0,0,Partial,1.97920337176157
June_2,Early wet,1,4,Partial,6.36172512351933
June_2,Early wet,1,2,Partial,0.329867228626928
June_2,Early wet,0,0,Partial,0.0471238898038469
June_2,Early wet,0,0,Partial,0.188495559215388
June_2,Early wet,1,1,Partial,1.20951317163207
June_2,Early wet,1,1,Partial,1.42942465738336
June_2,Early wet,1,15,Partial,20.7345115136926
June_2,Early wet,1,1,Partial,0.235619449019234
June_2,Early wet,0,0,Partial,10.0530964914873
June_2,Early wet,0,0,Partial,0.0942477796076938
June_2,Early wet,0,0,Partial,0.196349540849362
June_2,Early wet,0,0,Partial,0.125663706143592
June_2,Early wet,0,0,Partial,36.945129606216
June_2,Early wet,0,0,Partial,9.34623814442963
June_2,Early wet,0,0,Partial,3.51858377202057
June_2,Early wet,0,0,Partial,19.1637151868977
June_2,Early wet,0,0,Partial,0.628318530717959
June_2,Early wet,0,0,Partial,0.15707963267949
June_2,Early wet,0,0,Partial,0.125663706143592
June_3,Early wet,0,0,Open,1.41371669411541
June_3,Early wet,0,0,Open,1.29590696960579
June_3,Early wet,0,0,Open,2.08915911463721
June_3,Early wet,0,0,Open,0.895353906273091
June_3,Early wet,0,0,Open,1.03672557568463
June_3,Early wet,1,4,Open,144.662487716176
June_3,Early wet,0,0,Open,6.8643799480937
June_3,Early wet,0,0,Open,0.824668071567321
June_3,Early wet,1,5,Open,13.7601758227233
June_3,Early wet,0,0,Open,0.659734457253856
June_3,Early wet,0,0,Open,0.117809724509617
June_3,Early wet,0,0,Open,1.22522113490002
June_3,Early wet,0,0,Open,0.628318530717959
June_3,Early wet,0,0,Open,0.863937979737193
June_3,Early wet,0,0,Open,1.12311937365835
June_3,Early wet,0,0,Open,234.951860580347
June_3,Early wet,0,0,Open,0.659734457253856
June_3,Early wet,0,0,Open,0.117809724509617
June_3,Early wet,1,9,Open,76.1364979597486
June_3,Early wet,0,0,Open,2.82743338823081
June_3,Early wet,1,2,Open,35.68849254478
June_3,Early wet,1,2,Open,18.9673656460484
June_3,Early wet,1,3,Open,64.6853927374138
June_3,Early wet,1,3,Open,24.9913695593068
June_3,Early wet,0,0,Open,2.7096236637212
June_3,Early wet,0,0,Open,5.34070751110265
June_3,Early wet,0,0,Open,9.33838416279566
June_3,Early wet,0,0,Open,0.549778714378214
June_3,Early wet,0,0,Open,38.4138241717692
June_3,Early wet,0,0,Open,0.172787595947439
June_3,Early wet,1,7,Open,55.9596191420682
June_3,Early wet,0,0,Open,18.0720117397753
June_3,Early wet,0,0,Open,6.81725605828985
June_3,Early wet,0,0,Open,1.12311937365835
June_3,Early wet,0,0,Open,1.70431401457246
June_3,Early wet,0,0,Open,3.76991118430775
June_3,Early wet,0,0,Open,2.93738913110646
June_3,Early wet,0,0,Open,0.125663706143592
June_3,Early wet,0,0,Open,4.72809694365264
June_3,Early wet,0,0,Open,7.41415866247191
June_3,Early wet,0,0,Open,4.27256600888212
June_3,Early wet,0,0,Open,1.76714586764426
June_3,Early wet,0,0,Open,6.33030919698343
June_3,Early wet,1,14,Open,65.5336227538831
June_3,Early wet,0,0,Open,0.777544181763474
June_3,Early wet,1,7,Open,111.094570212569
June_3,Early wet,1,3,Open,48.0663675999238
June_3,Early wet,1,2,Open,14.8440252882118
June_3,Early wet,0,0,Open,9.67610537305656
June_3,Early wet,0,0,Open,0.259181393921158
June_3,Early wet,0,0,Open,23.6247767549952
June_3,Early wet,0,0,Open,0.431968989868597
June_3,Early wet,0,0,Open,0.400553063332699
June_3,Early wet,0,0,Open,0.0628318530717959
June_3,Early wet,1,7,Open,31.6672539481851
June_3,Early wet,1,3,Open,9.07134878724053
June_3,Early wet,0,0,Open,0.274889357189107
June_3,Early wet,0,0,Open,0.117809724509617
June_3,Early wet,0,0,Open,0.942477796076938
June_3,Early wet,0,0,Open,0.706858347057703
June_3,Early wet,1,1,Open,0.549778714378214
June_3,Early wet,0,0,Open,0.125663706143592
June_3,Early wet,0,0,Open,0.471238898038469
June_3,Early wet,1,27,Open,132.535940073319
June_3,Early wet,1,22,Open,44.9561908728699
June_3,Early wet,1,115,Open,634.318972686315
June_3,Early wet,1,50,Open,154.299323181063
June_3,Early wet,1,56,Open,157.158172495829
June_3,Early wet,1,34,Open,209.92122111287
June_3,Early wet,1,54,Open,220.25706094318
