Burn_Season,Box_ID,Canopy_Cover,Germinated
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,1_January,Open,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,2_January,Partial,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
Early dry,3_January,Open,0
